                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2361,                 3.7042,                 1.3394,                0.00329,                0.98765,                0.39145,                 0.2829,                      0,                    inf,                      0,                 0.0847,                 0.0017,                 0.0017
                      1,                0.89608,                 2.3652,                  1.038,                0.46896,                0.97531,                0.92571,                0.71914,                      0,                    inf,                      0,               0.068465,              0.0034654,              0.0034654
                      2,                0.96715,                 1.5316,                  1.068,                0.75698,                0.98765,                0.96285,                0.70959,                      0,                    inf,                      0,               0.052195,              0.0051951,              0.0051951
                      3,                 1.0188,                 1.3249,                 1.0598,                      1,                0.27969,                0.94198,                0.71036,                      0,                    inf,                      0,               0.035889,              0.0068891,              0.0068891
                      4,                 1.0148,                 1.2009,                 1.0782,                      1,                 0.5829,                0.89394,                0.69983,                      0,                    inf,                      0,               0.019548,              0.0085476,              0.0085476
                      5,                 1.0184,                 1.1898,                 1.0901,                  0.937,                0.85185,                0.94289,                 0.7046,                      0,                    inf,                      0,               0.009505,               0.009505,               0.009505
                      6,                0.97863,                 1.1978,                 1.0952,                0.89468,                0.91358,                0.92816,                0.68846,                      0,                    inf,                      0,               0.009505,               0.009505,               0.009505
                      7,                 1.0019,                  1.171,                 1.1164,                 0.9694,                0.92593,                0.97088,                0.73166,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      8,                0.98912,                 1.0838,                 1.0826,                0.85952,                0.90644,                0.89255,                0.63292,                      0,                    inf,                      0,               0.009307,               0.009307,               0.009307
                      9,                 1.0226,                 1.0839,                 1.1072,                0.88899,                 0.8642,                0.94587,                0.69312,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                     10,                 1.0091,                 1.0063,                 1.0789,                0.94644,                0.87274,                0.94724,                0.72861,                      0,                    inf,                      0,               0.009109,               0.009109,               0.009109
                     11,                 0.9831,                 1.0328,                  1.088,                0.95382,                0.90123,                0.96957,                0.71725,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                     12,                0.98522,                0.95985,                 1.0884,                0.85042,                 0.9125,                0.93358,                0.64429,                      0,                    inf,                      0,               0.008911,               0.008911,               0.008911
                     13,                0.92445,                0.88806,                 1.0704,                0.89261,                0.79012,                0.86156,                0.62418,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                     14,                0.95915,                0.88578,                 1.0778,                0.89232,                0.85185,                0.91815,                0.69337,                      0,                    inf,                      0,               0.008713,               0.008713,               0.008713
                     15,                0.92062,                0.84038,                 1.0478,                0.93723,                0.92167,                0.96954,                0.71278,                      0,                    inf,                      0,               0.008614,               0.008614,               0.008614
                     16,                0.92236,                0.85435,                 1.0492,                 0.9322,                0.91358,                 0.9336,                0.66957,                      0,                    inf,                      0,               0.008515,               0.008515,               0.008515
                     17,                0.91891,                 0.8235,                 1.0553,                0.93603,                0.95062,                0.96587,                0.73921,                      0,                    inf,                      0,               0.008416,               0.008416,               0.008416
                     18,                0.94107,                 0.8347,                 1.0738,                0.91754,                0.96296,                0.97424,                0.78023,                      0,                    inf,                      0,               0.008317,               0.008317,               0.008317
                     19,                0.91803,                0.81712,                 1.0435,                0.97429,                0.93565,                0.97867,                0.76418,                      0,                    inf,                      0,               0.008218,               0.008218,               0.008218
                     20,                0.99514,                0.89544,                 1.0773,                0.92831,                0.96296,                0.96972,                0.75614,                      0,                    inf,                      0,               0.008119,               0.008119,               0.008119
                     21,                0.89113,                0.79434,                  1.042,                0.95951,                0.93827,                0.97889,                0.81207,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                     22,                0.88446,                0.74867,                 1.0524,                0.97693,                0.96296,                0.97803,                0.78052,                      0,                    inf,                      0,               0.007921,               0.007921,               0.007921
                     23,                0.85896,                0.74431,                 1.0456,                0.94042,                0.98765,                0.98353,                0.76313,                      0,                    inf,                      0,               0.007822,               0.007822,               0.007822
                     24,                0.86398,                0.72803,                 1.0345,                0.99747,                0.97531,                0.98464,                0.81585,                      0,                    inf,                      0,               0.007723,               0.007723,               0.007723
